epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4595,0.74195,3.82438,1.00798,0.01375,0.7936,0.11603,0.09667,0.49489,3.5849,0.83994,0.000217887,0.000217887,0.000217887
2,75.3711,0.78816,2.65304,1.0228,0.69617,0.43601,0.49355,0.41676,0.54662,1.86263,0.87653,0.000435862,0.000435862,0.000435862
3,109.582,0.74075,1.90894,0.9989,0.57871,0.57076,0.6125,0.50183,0.59255,1.59801,0.91226,0.000649435,0.000649435,0.000649435
4,149.27,0.74351,1.49904,0.99136,0.61005,0.70636,0.71222,0.61197,0.5623,1.09281,0.89788,0.00064719,0.00064719,0.00064719
5,190.206,0.68366,1.3029,0.98775,0.67318,0.72574,0.77942,0.69063,0.48781,0.89652,0.88925,0.000640587,0.000640587,0.000640587
6,228.423,0.6419,1.19226,0.96542,0.7107,0.79407,0.82188,0.74044,0.44025,0.79555,0.86326,0.000633983,0.000633983,0.000633983
7,265.571,0.62937,1.07538,0.97294,0.86577,0.82281,0.86976,0.78282,0.43572,0.70803,0.86616,0.00062738,0.00062738,0.00062738
8,302.615,0.57621,0.99099,0.94037,0.84275,0.85236,0.89746,0.81997,0.40714,0.65616,0.85032,0.000620777,0.000620777,0.000620777
9,338.856,0.58274,0.93361,0.94169,0.88691,0.87379,0.93074,0.86395,0.3859,0.58791,0.85525,0.000614174,0.000614174,0.000614174
10,376.971,0.54026,0.88179,0.92347,0.93322,0.90826,0.95472,0.89375,0.35398,0.50121,0.8356,0.00060757,0.00060757,0.00060757
11,413.002,0.5384,0.81531,0.93298,0.91145,0.92579,0.96836,0.90824,0.35254,0.51915,0.83735,0.000600967,0.000600967,0.000600967
12,448.701,0.53929,0.80045,0.9323,0.93691,0.89625,0.96118,0.8947,0.36284,0.52894,0.84636,0.000594364,0.000594364,0.000594364
13,483.119,0.52959,0.75767,0.9292,0.97129,0.9342,0.97827,0.92215,0.33693,0.44632,0.83782,0.00058776,0.00058776,0.00058776
14,522.826,0.51605,0.73004,0.91992,0.96226,0.94516,0.97927,0.91416,0.34726,0.44591,0.83757,0.000581157,0.000581157,0.000581157
15,562.859,0.51334,0.69912,0.92186,0.97561,0.94971,0.98315,0.92232,0.35553,0.43245,0.83624,0.000574554,0.000574554,0.000574554
16,601.673,0.50839,0.67729,0.92496,0.97817,0.95913,0.98514,0.92916,0.31884,0.42562,0.83225,0.00056795,0.00056795,0.00056795
17,638.837,0.50307,0.64605,0.91387,0.99088,0.96348,0.98597,0.93455,0.31915,0.40198,0.82845,0.000561347,0.000561347,0.000561347
18,675.755,0.50683,0.64507,0.90579,0.98119,0.95579,0.98439,0.92719,0.33479,0.40254,0.8258,0.000554744,0.000554744,0.000554744
19,712.779,0.49846,0.63766,0.91204,0.98814,0.96851,0.98641,0.93214,0.33487,0.39387,0.83178,0.000548141,0.000548141,0.000548141
20,748.188,0.49221,0.59293,0.91181,0.98171,0.96416,0.98576,0.91926,0.35088,0.39561,0.82528,0.000541537,0.000541537,0.000541537
21,784.583,0.4798,0.59474,0.9083,0.98927,0.97244,0.98928,0.93133,0.34311,0.38376,0.82562,0.000534934,0.000534934,0.000534934
22,819.432,0.45855,0.57521,0.90728,0.99344,0.97033,0.98889,0.93837,0.31751,0.35777,0.82743,0.000528331,0.000528331,0.000528331
23,855.495,0.47465,0.57124,0.89834,0.98707,0.97262,0.98763,0.93731,0.30833,0.3625,0.81922,0.000521727,0.000521727,0.000521727
24,894.727,0.46823,0.56934,0.9177,0.98805,0.97016,0.98941,0.93898,0.31999,0.36406,0.82269,0.000515124,0.000515124,0.000515124
25,932.117,0.45494,0.56666,0.90269,0.99003,0.97343,0.98819,0.94377,0.29757,0.34524,0.82211,0.000508521,0.000508521,0.000508521
26,970.013,0.46301,0.55623,0.9083,0.98699,0.97285,0.98854,0.94531,0.29138,0.3427,0.8148,0.000501917,0.000501917,0.000501917
27,1006,0.46228,0.55318,0.91137,0.99564,0.97207,0.98938,0.94898,0.28426,0.33789,0.81406,0.000495314,0.000495314,0.000495314
28,1042.75,0.43603,0.53374,0.88829,0.98997,0.9778,0.99044,0.94635,0.28928,0.34197,0.81543,0.000488711,0.000488711,0.000488711
29,1079.05,0.46204,0.55123,0.91085,0.99118,0.97283,0.99048,0.94842,0.28684,0.32844,0.81512,0.000482108,0.000482108,0.000482108
30,1113.77,0.44928,0.53081,0.89575,0.99056,0.97736,0.99072,0.94734,0.28366,0.32294,0.81339,0.000475504,0.000475504,0.000475504
31,1149.54,0.45429,0.51469,0.89681,0.99525,0.97228,0.99066,0.95043,0.28704,0.3287,0.81145,0.000468901,0.000468901,0.000468901
32,1183.04,0.4453,0.52331,0.90182,0.99276,0.97431,0.98933,0.94659,0.30076,0.34647,0.81557,0.000462298,0.000462298,0.000462298
33,1221.36,0.4377,0.50977,0.89322,0.99093,0.97484,0.98918,0.9435,0.30165,0.32812,0.81239,0.000455694,0.000455694,0.000455694
34,1260.34,0.43853,0.50989,0.90089,0.98812,0.97908,0.99112,0.94857,0.29651,0.31898,0.81214,0.000449091,0.000449091,0.000449091
35,1300.77,0.44653,0.51133,0.89687,0.9909,0.97835,0.99086,0.95133,0.28106,0.30989,0.81154,0.000442488,0.000442488,0.000442488
36,1339.23,0.41971,0.49976,0.88746,0.99075,0.97551,0.98876,0.94904,0.2882,0.32236,0.81284,0.000435884,0.000435884,0.000435884
37,1375.15,0.41865,0.48288,0.88673,0.99572,0.97403,0.99076,0.95253,0.27382,0.3022,0.80847,0.000429281,0.000429281,0.000429281
38,1411.68,0.42413,0.48557,0.88812,0.99148,0.97547,0.99007,0.95167,0.27667,0.30623,0.80858,0.000422678,0.000422678,0.000422678
39,1447.21,0.4144,0.47679,0.88962,0.99412,0.97466,0.99173,0.9528,0.28444,0.29562,0.80815,0.000416075,0.000416075,0.000416075
40,1482.7,0.42281,0.48079,0.90172,0.99092,0.9781,0.9912,0.94581,0.29266,0.30481,0.80924,0.000409471,0.000409471,0.000409471
41,1518.96,0.41942,0.47969,0.89151,0.9956,0.97652,0.99204,0.95074,0.29056,0.29436,0.81072,0.000402868,0.000402868,0.000402868
42,1552.06,0.42344,0.47935,0.88669,0.98993,0.97951,0.99211,0.9537,0.28804,0.30521,0.80944,0.000396265,0.000396265,0.000396265
43,1588.95,0.41587,0.46344,0.8848,0.99361,0.97756,0.99152,0.95609,0.26821,0.28224,0.80645,0.000389661,0.000389661,0.000389661
44,1627.21,0.4162,0.47179,0.88464,0.99328,0.97735,0.99156,0.95325,0.28203,0.28774,0.80483,0.000383058,0.000383058,0.000383058
45,1665.21,0.41334,0.47832,0.88796,0.99185,0.97793,0.99093,0.95669,0.26829,0.28864,0.80603,0.000376455,0.000376455,0.000376455
46,1702.22,0.40655,0.45949,0.87766,0.99296,0.97894,0.99066,0.95511,0.27849,0.28734,0.80398,0.000369851,0.000369851,0.000369851
47,1738.66,0.40489,0.44892,0.89177,0.99553,0.97842,0.99153,0.96002,0.25391,0.27318,0.80236,0.000363248,0.000363248,0.000363248
48,1774.74,0.40949,0.44339,0.88203,0.99309,0.98151,0.99251,0.95912,0.25414,0.27301,0.8035,0.000356645,0.000356645,0.000356645
49,1810.72,0.39505,0.44473,0.87829,0.99422,0.97973,0.99179,0.96186,0.24171,0.26464,0.80195,0.000350042,0.000350042,0.000350042
50,1845.82,0.4066,0.45057,0.88575,0.99491,0.97896,0.99152,0.95877,0.25653,0.26957,0.8035,0.000343438,0.000343438,0.000343438
51,1880.65,0.40145,0.43859,0.87684,0.99494,0.97942,0.99209,0.95873,0.26092,0.27178,0.80217,0.000336835,0.000336835,0.000336835
52,1912.79,0.40323,0.42986,0.87845,0.99495,0.97893,0.99076,0.95425,0.28125,0.26961,0.80432,0.000330232,0.000330232,0.000330232
53,1950.86,0.40481,0.44612,0.89138,0.99612,0.97792,0.99096,0.95566,0.27607,0.26964,0.80472,0.000323628,0.000323628,0.000323628
54,1990.26,0.41588,0.43954,0.88034,0.99242,0.98,0.99135,0.95721,0.26249,0.26495,0.80186,0.000317025,0.000317025,0.000317025
55,2029.65,0.38162,0.41057,0.87053,0.99443,0.98023,0.99233,0.95978,0.25846,0.25995,0.80058,0.000310422,0.000310422,0.000310422
56,2066.98,0.39025,0.41424,0.87092,0.99501,0.979,0.99168,0.95829,0.27803,0.26561,0.80325,0.000303818,0.000303818,0.000303818
